Название;Продавец;URL;Дата;Цена;Номер;Описание;Регион;Город;Доп.параметры;Фото;Категория
R19 BMW 550 2010-2017;Kობა;https://www.myparts.ge/ru/pr/11242245/;15.12.2023;Цена договорная;995557547799;ასევე შეგიდძლიათ დარეკოთ ვატსაპში;Грузия;Тбилиси;Диаметр (R)=19|Ширина шины=245|Высота шины=40|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0806/11242245_1.jpg,https://static.my.ge/myparts/photos/thumbs/0806/11242245_2.jpg,https://static.my.ge/myparts/photos/thumbs/0806/11242245_3.jpg;Диски и шины в комплекте
R18 HYUNDAI / KIA / NISSAN / TOYOTA;Sergo;https://www.myparts.ge/ru/pr/11605358/;15.12.2023;125;995595764684;მისამართი: გრიგოლ ლორთქიფანიძის ( ძვ.კაიროს ) ქ. N146;Грузия;Тбилиси;Ширина (J)=8.5|Диаметр (R)=18|Ширина шины=245|Высота шины=40|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0722/11605358_1.jpg,https://static.my.ge/myparts/photos/thumbs/0722/11605358_2.jpg;Диски и шины в комплекте
R16 OPEL Zafira 2005;დათო;https://www.myparts.ge/ru/pr/11631891/;15.12.2023;Цена договорная;995579313993;იყიდება ოპელის რკინის დისკების კალპაკები რ-15 სხვადასხვა დიზაინით. ფასი შეთანხმებით.;Грузия;;Ширина (J)=9.5|Диаметр (R)=16|Ширина шины=205|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0616/11631891_1.jpg;Диски и шины в комплекте
R18 CHEVROLET Camaro 2010-2020;autopart.ge;https://www.myparts.ge/ru/pr/11641178/;15.12.2023;15;995570200200;Chevrolet Camaro დისკები+საბურავები.კარგ მდგომარეობაში.245/50 R18;Грузия;Тбилиси;Диаметр (R)=18|Ширина шины=245|Высота шины=50|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0629/11641178_1.jpg,https://static.my.ge/myparts/photos/thumbs/0629/11641178_2.jpg,https://static.my.ge/myparts/photos/thumbs/0629/11641178_3.jpg;Диски и шины в комплекте
R15 MERCEDES-BENZ C 200 2000;დათო;https://www.myparts.ge/ru/pr/11642920/;15.12.2023;Цена договорная;995579313993;მერსედესის რკინის დისკების ხუფები[კალპაკები] რ-15, რ-16 იდეალურ მდგომარეობაში.;Грузия;;Диаметр (R)=15|Ширина шины=195|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0701/11642920_1.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11642920_2.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11642920_3.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11642920_4.jpg;Диски и шины в комплекте
R15 MERCEDES-BENZ C 280 2002;დათო;https://www.myparts.ge/ru/pr/11642924/;15.12.2023;Цена договорная;995579313993;მერსედესის ალუმინის დისკების ბოლტები ორიგინალი, ყველა ზომის.;Грузия;;Ширина (J)=7|Диаметр (R)=15|Ширина шины=195|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0701/11642924_1.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11642924_2.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11642924_3.jpg;Диски и шины в комплекте
R14 FORD Cougar 1997-2022;ლადო;https://www.myparts.ge/ru/pr/11859921/;15.12.2023;420;995551757117;დისკების და საბურავების მდგომარობა არის ძალიან კარგი,ჩამოტანილია საზღვარგარეთიდან ,საბურავები ფაქტ. ახლებია,ფასი მითითებულია მარტო დისკების....აგრეთვე გვაქვს 16 იანი კომპლექტი, გვაქვს წნევის სენსორები გასინჯვით და დაპროგრამირებით.;Грузия;Тбилиси;Ширина (J)=6|Диаметр (R)=14|Ширина шины=175|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0628/11859921_1.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_2.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_3.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_4.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_5.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_6.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_7.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_8.jpg,https://static.my.ge/myparts/photos/thumbs/0628/11859921_9.jpg;Диски и шины в комплекте
R20 CHEVROLET Camaro 2010-2021;autopart.ge;https://www.myparts.ge/ru/pr/11861711/;15.12.2023;35;995570200200;Chevrolet Camaro დისკები R20 უკანები 275/35 - წინები 245/40 ფასი: 3500 ლარი;Грузия;Тбилиси;Диаметр (R)=20|Ширина шины=275|Высота шины=35|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0701/11861711_1.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11861711_2.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11861711_3.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11861711_4.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11861711_5.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11861711_6.jpg,https://static.my.ge/myparts/photos/thumbs/0701/11861711_7.jpg;Диски и шины в комплекте
R19 AUDI / MERCEDES-BENZ / VOLKSWAGEN;daviti;https://www.myparts.ge/ru/pr/11880285/;15.12.2023;2000;995596007050;SALE!!!MAM-ის ფირმის ორიგინალი გერმანული იდეალური 19 იანი დისკები,ჩამოტანილია ევროპიდან,უნაკლოა..მიდის ბევრ 5 ბოლტიან ევროპულ მოდელზე 5/112 ზე..ნახეთ ყველა განცხადება,გვაქვს დიდი არჩევანი..ისანი ქეთევან წამებულის გამზირი 71ბ....;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=8.5|Диаметр (R)=19|Ширина шины=235|Высота шины=35|Вылет (ET)=E 45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0730/11880285_1.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_2.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_3.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_4.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_5.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_6.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_7.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_8.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_9.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_10.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_11.jpg,https://static.my.ge/myparts/photos/thumbs/0730/11880285_12.jpg;Диски и шины в комплекте
R19 MERCEDES-BENZ GL 450 / ML 320 / ML 350 / ML 500 / ML 550;M-Class;https://www.myparts.ge/ru/pr/11900520/;15.12.2023;850;995599608833;იყიდება 19იანი დისკები და საბურავები. ნორმალურ მდგომარეობაში. ფასი: 850ლ ტელ: ისნის ავტონაწილების ზედა ბაზრობა იხილეთ ყველა განცხადება!;Грузия;Тбилиси;Диаметр (R)=19|Ширина шины=255|Высота шины=50|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0908/11900520_1.jpg,https://static.my.ge/myparts/photos/thumbs/0908/11900520_2.jpg,https://static.my.ge/myparts/photos/thumbs/0908/11900520_3.jpg;Диски и шины в комплекте
